Model,Episode,Survival_Steps,Outcome,Final_Distance,Path_Efficiency
Pure DQN,1,500,Timeout,197.84,0.9912
Pure DQN,2,105,Collision,539.31,1.2072
Pure DQN,3,263,Collision,361.33,1.2189
Pure DQN,4,35,Collision,619.38,2.7048
Pure DQN,5,18,Collision,633.17,0.7614
Pure DQN,6,25,Collision,798.83,-2.5055
Pure DQN,7,20,Collision,599.87,-0.3853
Pure DQN,8,169,Collision,330.59,1.7051
Pure DQN,9,81,Collision,577.95,1.4522
Pure DQN,10,172,Collision,230.24,1.9973
Pure DQN,11,340,Collision,205.38,1.2541
Pure DQN,12,240,Goal Reached,19.51,2.4345
Pure DQN,13,48,Collision,662.79,0.516
Pure DQN,14,7,Collision,564.09,2.2092
Pure DQN,15,193,Goal Reached,19.11,2.7233
Pure DQN,16,78,Collision,345.83,2.7366
Pure DQN,17,102,Collision,491.67,2.0152
Pure DQN,18,1,Collision,599.8,2.2746
Pure DQN,19,1,Collision,612.33,2.902
Pure DQN,20,53,Collision,506.66,1.9503
Pure DQN,21,180,Goal Reached,19.93,2.8247
Pure DQN,22,62,Collision,449.84,1.0812
Pure DQN,23,500,Timeout,486.67,0.4307
Pure DQN,24,77,Collision,535.5,1.9684
Pure DQN,25,220,Collision,55.02,2.5042
Pure DQN,26,72,Collision,531.87,2.1454
Pure DQN,27,38,Collision,613.24,2.0612
Pure DQN,28,271,Collision,97.54,1.7481
Pure DQN,29,66,Collision,605.57,0.933
Pure DQN,30,77,Collision,557.16,1.0311
Pure DQN,31,104,Collision,368.36,2.6203
Pure DQN,32,22,Collision,555.66,2.0112
Pure DQN,33,61,Collision,564.45,2.8333
Pure DQN,34,1,Collision,596.62,-2.7037
Pure DQN,35,39,Collision,510.53,2.5042
Pure DQN,36,89,Collision,639.12,0.0612
Pure DQN,37,1,Collision,611.86,2.188
Pure DQN,38,92,Collision,695.66,-0.6485
Pure DQN,39,43,Collision,603.61,1.1369
Pure DQN,40,144,Collision,449.12,1.529
Pure DQN,41,1,Collision,605.0,-2.9995
Pure DQN,42,370,Goal Reached,18.58,1.9026
Pure DQN,43,111,Collision,451.65,2.5024
Pure DQN,44,214,Goal Reached,19.2,2.7607
Pure DQN,45,306,Collision,269.15,1.4578
Pure DQN,46,139,Collision,480.69,0.792
Pure DQN,47,225,Collision,417.89,1.042
Pure DQN,48,56,Collision,666.6,0.4675
Pure DQN,49,309,Collision,166.02,1.6325
Pure DQN,50,54,Collision,580.54,2.0218
Pure DQN,51,1,Collision,616.9,-1.9781
Pure DQN,52,72,Collision,886.16,-2.7529
Pure DQN,53,48,Collision,466.25,2.8559
Pure DQN,54,7,Collision,602.99,1.9062
Pure DQN,55,239,Goal Reached,18.87,2.8293
Pure DQN,56,52,Collision,502.89,1.8356
Pure DQN,57,321,Collision,191.11,1.6203
Pure DQN,58,252,Goal Reached,17.81,2.4817
Pure DQN,59,385,Collision,166.76,1.067
Pure DQN,60,164,Collision,446.58,1.1212
Pure DQN,61,46,Collision,528.59,2.6177
Pure DQN,62,1,Collision,582.73,-2.0561
Pure DQN,63,1,Collision,583.0,-1.1972
Pure DQN,64,1,Collision,565.96,-1.314
Pure DQN,65,209,Goal Reached,19.49,2.5884
Pure DQN,66,32,Collision,624.74,0.5375
Pure DQN,67,117,Collision,475.27,1.1526
Pure DQN,68,340,Collision,65.15,1.5717
Pure DQN,69,67,Collision,617.98,1.9104
Pure DQN,70,1,Collision,567.65,2.9394
Pure DQN,71,237,Goal Reached,19.46,2.69
Pure DQN,72,87,Collision,561.41,0.1154
Pure DQN,73,96,Collision,423.12,2.8427
Pure DQN,74,168,Collision,117.74,2.8127
Pure DQN,75,69,Collision,587.28,2.0293
Pure DQN,76,91,Collision,438.35,2.2327
Pure DQN,77,175,Collision,497.84,0.8834
Pure DQN,78,27,Collision,468.81,2.1838
Pure DQN,79,15,Collision,676.44,-2.3541
Pure DQN,80,117,Collision,527.24,2.0547
Pure DQN,81,22,Collision,532.47,2.4073
Pure DQN,82,17,Collision,629.28,0.6852
Pure DQN,83,155,Collision,383.05,1.422
Pure DQN,84,65,Collision,711.74,-1.0454
Pure DQN,85,68,Collision,516.41,1.447
Pure DQN,86,26,Collision,559.12,2.8331
Pure DQN,87,238,Goal Reached,18.87,2.7969
Pure DQN,88,124,Collision,297.84,2.4793
Pure DQN,89,399,Collision,144.04,1.1732
Pure DQN,90,269,Goal Reached,19.56,1.9499
Pure DQN,91,119,Collision,467.42,2.0319
Pure DQN,92,145,Collision,259.62,2.2118
Pure DQN,93,3,Collision,528.37,0.7955
Pure DQN,94,500,Timeout,149.35,0.915
Pure DQN,95,241,Collision,64.2,2.1693
Pure DQN,96,304,Collision,237.93,1.0573
Pure DQN,97,111,Collision,459.75,1.6877
Pure DQN,98,199,Collision,494.94,0.5964
Pure DQN,99,74,Collision,432.69,2.6585
Pure DQN,100,189,Goal Reached,17.9,2.7946
Hybrid GA-RL,1,1,Collision,580.7,-1.5633
Hybrid GA-RL,2,314,Collision,46.01,1.7672
Hybrid GA-RL,3,275,Goal Reached,19.44,2.4215
Hybrid GA-RL,4,1,Collision,565.0,-2.9705
Hybrid GA-RL,5,44,Collision,592.53,2.4758
Hybrid GA-RL,6,86,Collision,370.02,2.6692
Hybrid GA-RL,7,40,Collision,582.56,0.7421
Hybrid GA-RL,8,287,Goal Reached,18.61,2.4858
Hybrid GA-RL,9,231,Goal Reached,19.99,2.7053
Hybrid GA-RL,10,20,Collision,534.41,0.6512
Hybrid GA-RL,11,1,Collision,514.22,2.8264
Hybrid GA-RL,12,72,Collision,710.98,-1.0915
Hybrid GA-RL,13,233,Collision,298.55,1.386
Hybrid GA-RL,14,188,Collision,70.93,2.7254
Hybrid GA-RL,15,100,Collision,340.06,2.1659
Hybrid GA-RL,16,83,Collision,494.96,2.6012
Hybrid GA-RL,17,100,Collision,466.22,1.9346
Hybrid GA-RL,18,74,Collision,591.76,0.6317
Hybrid GA-RL,19,317,Goal Reached,18.21,1.652
Hybrid GA-RL,20,1,Collision,572.55,2.9013
Hybrid GA-RL,21,1,Collision,617.28,-0.0529
Hybrid GA-RL,22,35,Collision,658.58,1.2466
Hybrid GA-RL,23,87,Collision,380.15,2.8939
Hybrid GA-RL,24,215,Goal Reached,18.91,2.7971
Hybrid GA-RL,25,239,Goal Reached,17.89,2.435
Hybrid GA-RL,26,84,Collision,489.81,2.0405
Hybrid GA-RL,27,233,Collision,40.24,2.5407
Hybrid GA-RL,28,34,Collision,613.69,2.7784
Hybrid GA-RL,29,233,Goal Reached,17.25,2.7371
Hybrid GA-RL,30,256,Goal Reached,19.82,2.7575
Hybrid GA-RL,31,246,Goal Reached,19.81,2.1584
Hybrid GA-RL,32,84,Collision,379.09,2.4292
Hybrid GA-RL,33,260,Goal Reached,19.18,2.4849
Hybrid GA-RL,34,276,Collision,63.38,2.2778
Hybrid GA-RL,35,51,Collision,468.07,2.7943
Hybrid GA-RL,36,244,Goal Reached,17.96,2.4548
Hybrid GA-RL,37,180,Goal Reached,18.58,2.8191
Hybrid GA-RL,38,84,Collision,463.58,1.6281
Hybrid GA-RL,39,317,Goal Reached,19.75,2.3319
Hybrid GA-RL,40,188,Collision,61.85,2.7152
Hybrid GA-RL,41,262,Goal Reached,17.49,2.3695
Hybrid GA-RL,42,297,Goal Reached,17.44,2.5459
Hybrid GA-RL,43,246,Collision,123.65,2.2671
Hybrid GA-RL,44,121,Collision,312.3,2.0028
Hybrid GA-RL,45,249,Goal Reached,19.99,2.2699
Hybrid GA-RL,46,76,Collision,635.62,0.7242
Hybrid GA-RL,47,290,Goal Reached,19.95,2.4992
Hybrid GA-RL,48,40,Collision,611.97,1.7328
Hybrid GA-RL,49,240,Goal Reached,19.58,2.7642
Hybrid GA-RL,50,111,Collision,360.84,2.2515
Hybrid GA-RL,51,212,Collision,99.93,2.3926
Hybrid GA-RL,52,8,Collision,499.8,2.2951
Hybrid GA-RL,53,258,Collision,130.97,2.2066
Hybrid GA-RL,54,113,Collision,574.06,0.8523
Hybrid GA-RL,55,281,Goal Reached,19.92,2.1577
Hybrid GA-RL,56,244,Collision,34.94,2.331
Hybrid GA-RL,57,275,Collision,117.23,1.8758
Hybrid GA-RL,58,22,Collision,613.03,2.7917
Hybrid GA-RL,59,41,Collision,592.97,0.4818
Hybrid GA-RL,60,250,Goal Reached,19.56,2.4369
Hybrid GA-RL,61,275,Goal Reached,17.37,2.3569
Hybrid GA-RL,62,233,Goal Reached,18.79,2.4967
Hybrid GA-RL,63,226,Goal Reached,18.15,2.7592
