episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,boundary_collision,,,69.00000000000004,593.0935845210265,
2,1,0,boundary_collision,,,93.00000000000004,728.0453282591682,
3,1,0,obstacle_collision,,,203.99999999999997,575.0556494809872,
4,1,0,boundary_collision,,,204.0,589.6185207403173,
5,1,0,obstacle_collision,,,116.9999999999999,602.4657666623059,
6,1,0,boundary_collision,,,62.99999999999999,662.148019705564,
7,1,0,boundary_collision,,,107.99999999999993,633.2969287782786,
8,1,0,obstacle_collision,,,126.00000000000013,572.0952717860898,
9,1,0,boundary_collision,,,396.00000000000034,633.3356140309812,
10,1,0,obstacle_collision,,,339.00000000000085,722.2638022218752,
11,1,0,boundary_collision,,,147.00000000000014,600.0008333327546,
12,1,0,obstacle_collision,,,80.99999999999997,633.1413744180678,
13,1,0,boundary_collision,,,137.99999999999957,585.0478612899974,
14,1,0,boundary_collision,,,114.00000000000013,598.2056502575014,
15,1,0,obstacle_collision,,,681.0000000000005,678.3170350212355,
16,1,0,obstacle_collision,,,599.9999999999998,693.6000288350629,
17,1,0,obstacle_collision,,,378.0000000000001,632.0071202130558,
18,1,0,boundary_collision,,,240.00000000000006,512.3377792043058,
19,1,0,boundary_collision,,,197.99999999999994,706.4290481003736,
20,1,0,boundary_collision,,,101.99999999999993,651.3877493474988,
21,1,0,obstacle_collision,,,75.00000000000001,563.1740405949124,
22,1,0,obstacle_collision,,,59.99999999999991,577.2936860905374,
23,1,0,boundary_collision,,,71.99999999999999,536.7839416376015,
24,1,0,boundary_collision,,,147.00000000000014,705.1219752638547,
25,1,0,boundary_collision,,,288.0000000000004,571.7490708344002,
26,1,0,boundary_collision,,,66.00000000000001,720.855741462881,
27,1,0,boundary_collision,,,59.99999999999994,634.4927107540323,
28,1,0,boundary_collision,,,63.00000000000001,636.019653784378,
29,1,0,obstacle_collision,,,206.9999999999997,709.7393887899981,
30,1,0,obstacle_collision,,,77.9999999999997,655.7697766747108,
31,1,0,boundary_collision,,,111.00000000000009,574.5928993644109,
32,1,0,boundary_collision,,,87.0,665.6380397783769,
33,1,0,boundary_collision,,,186.00000000000037,576.086799015565,
34,1,0,boundary_collision,,,303.0000000000002,585.702996406882,
35,1,0,boundary_collision,,,483.00000000000006,659.2154427802795,
36,1,0,boundary_collision,,,423.0000000000003,594.3483826847685,
37,1,0,boundary_collision,,,174.00000000000006,619.3448151070613,
38,1,0,boundary_collision,,,78.00000000000003,658.5871240769895,
39,1,0,boundary_collision,,,75.0,654.2858702432752,
40,1,0,boundary_collision,,,108.00000000000001,672.0505933335675,
41,1,0,obstacle_collision,,,347.99999999999966,575.2842775532806,
42,1,0,boundary_collision,,,56.99999999999999,682.6836749183328,
43,1,0,boundary_collision,,,497.99999999999994,652.898920201282,
44,1,0,boundary_collision,,,726.0000000000003,689.4729871430787,
45,1,0,boundary_collision,,,105.00000000000006,589.0687565980732,
46,1,0,boundary_collision,,,236.99999999999977,737.4889829685593,
47,1,0,boundary_collision,,,132.00000000000003,590.1203267131204,
48,1,0,boundary_collision,,,77.99999999999997,648.1975007665487,
49,1,0,obstacle_collision,,,54.00000000000013,563.0319706730693,
50,1,0,boundary_collision,,,201.0,660.9183005485625,
51,1,0,obstacle_collision,,,719.9999999999998,705.6493463470366,
52,1,0,obstacle_collision,,,296.9999999999997,645.5214946072671,
53,1,0,boundary_collision,,,45.00000000000001,715.6486568142219,
54,1,0,boundary_collision,,,117.00000000000026,599.4263924786762,
55,1,0,boundary_collision,,,200.99999999999991,621.0161028508037,
56,1,0,boundary_collision,,,57.0,623.574374072572,
57,1,0,boundary_collision,,,75.00000000000003,586.4094132941592,
58,1,0,boundary_collision,,,56.99999999999999,768.2375934566077,
59,1,0,boundary_collision,,,356.99999999999994,598.03093565467,
60,1,0,obstacle_collision,,,102.00000000000001,561.3813320729502,
61,1,0,boundary_collision,,,228.00000000000003,694.6056435129217,
62,1,0,boundary_collision,,,53.99999999999999,586.1919480852667,
63,1,0,obstacle_collision,,,285.0,613.0619870779789,
64,1,0,boundary_collision,,,114.00000000000009,656.6589678059685,
65,1,0,obstacle_collision,,,566.9999999999998,688.8962185989991,
66,1,0,obstacle_collision,,,450.0,619.142956028735,
67,1,0,boundary_collision,,,87.00000000000001,637.2166036757046,
68,1,0,obstacle_collision,,,131.99999999999986,649.7260961359025,
69,1,0,boundary_collision,,,132.0,589.3089172921109,
70,1,0,obstacle_collision,,,255.0000000000002,573.5642945651342,
71,1,0,boundary_collision,,,71.99999999999997,612.0130717558245,
72,1,0,obstacle_collision,,,252.0,629.0389495094878,
73,1,0,obstacle_collision,,,392.9999999999998,702.3175919767352,
74,1,0,boundary_collision,,,414.0000000000003,679.9823527121862,
75,1,0,boundary_collision,,,116.99999999999999,559.0572421496747,
76,1,0,boundary_collision,,,80.9999999999997,614.1009688968094,
77,1,0,boundary_collision,,,167.9999999999999,632.9178461696273,
78,1,0,boundary_collision,,,464.9999999999993,646.7209599201188,
79,1,0,boundary_collision,,,177.00000000000014,619.3302834514069,
80,1,0,boundary_collision,,,258.0000000000003,587.6002042205228,
81,1,0,boundary_collision,,,198.0000000000001,649.0647117198715,
82,1,0,boundary_collision,,,309.0000000000006,684.8824716694098,
83,1,0,obstacle_collision,,,192.0000000000003,575.0912970998605,
84,1,0,boundary_collision,,,345.00000000000006,670.6780151458671,
85,1,0,boundary_collision,,,161.99999999999994,582.3263689719022,
86,1,0,boundary_collision,,,302.99999999999966,614.8333107436519,
87,1,0,boundary_collision,,,606.0,676.1397784482141,
88,1,0,boundary_collision,,,101.99999999999997,649.5205924372221,
89,1,0,boundary_collision,,,471.00000000000006,672.0148807876207,
90,1,0,boundary_collision,,,254.99999999999977,578.9991364414976,
91,1,0,boundary_collision,,,225.00000000000043,572.0034964928099,
92,1,0,obstacle_collision,,,89.99999999999999,634.9622035995528,
93,1,0,boundary_collision,,,152.99999999999966,567.3535053209771,
94,1,0,obstacle_collision,,,423.0000000000001,653.8539592294292,
95,1,0,obstacle_collision,,,180.00000000000017,579.0699439618672,
96,1,0,boundary_collision,,,110.99999999999993,640.1757571167468,
97,1,0,boundary_collision,,,48.00000000000014,587.3414679724224,
98,1,0,boundary_collision,,,134.9999999999999,676.5419425283254,
99,1,0,obstacle_collision,,,83.99999999999982,657.122515213107,
100,1,0,boundary_collision,,,90.00000000000001,574.5441671447027,
101,1,0,boundary_collision,,,123.00000000000009,608.4118670769004,
102,1,0,boundary_collision,,,303.0000000000003,712.7952020040539,
103,1,0,boundary_collision,,,738.0000000000002,590.3736105213376,
104,1,0,boundary_collision,,,47.99999999999999,635.9095847681492,
105,1,0,boundary_collision,,,158.99999999999991,607.398551200116,
106,1,0,boundary_collision,,,105.00000000000006,611.1104646461228,
107,1,0,boundary_collision,,,84.0,597.9473220945137,
108,1,0,boundary_collision,,,437.99999999999966,556.0512566301779,
109,1,0,boundary_collision,,,102.0,527.5395719754111,
110,1,0,obstacle_collision,,,77.99999999999997,592.4668767112639,
111,1,0,obstacle_collision,,,218.9999999999999,737.4618634207467,
112,1,0,boundary_collision,,,111.00000000000004,648.4273282334728,
113,1,0,boundary_collision,,,185.99999999999997,562.9680275113321,
114,1,0,boundary_collision,,,155.9999999999999,628.6374153675551,
115,1,0,boundary_collision,,,120.00000000000003,553.3985905294663,
116,1,0,boundary_collision,,,248.99999999999972,562.3850993758637,
117,1,0,boundary_collision,,,149.99999999999983,588.6000339789321,
118,1,0,boundary_collision,,,126.00000000000003,566.0689003999424,
119,1,0,boundary_collision,,,122.99999999999953,616.6765764969512,
120,1,0,boundary_collision,,,170.99999999999983,599.5281477962482,
121,1,0,boundary_collision,,,815.9999999999995,587.191621193627,
122,1,0,obstacle_collision,,,83.99999999999989,682.0029325450148,
123,1,0,obstacle_collision,,,332.99999999999994,671.7157136765524,
124,1,0,boundary_collision,,,62.99999999999998,746.274078338515,
125,1,0,boundary_collision,,,69.00000000000004,642.6297534350554,
126,1,0,obstacle_collision,,,768.0,680.8384536731162,
127,1,0,obstacle_collision,,,396.00000000000045,529.1360883553493,
128,1,0,obstacle_collision,,,617.9999999999998,625.1559805360579,
129,1,0,boundary_collision,,,41.99999999999996,647.8348554994552,
130,1,0,boundary_collision,,,107.99999999999999,606.0008250819466,
131,1,0,boundary_collision,,,48.0,698.4554388076593,
132,1,0,boundary_collision,,,284.9999999999996,641.6829435165002,
133,1,0,obstacle_collision,,,105.00000000000013,697.2775630980822,
134,1,0,obstacle_collision,,,630.0000000000006,670.132076534171,
135,1,0,boundary_collision,,,437.99999999999994,678.0597318820813,
136,1,0,boundary_collision,,,132.0000000000001,606.9810540700591,
137,1,0,obstacle_collision,,,264.0000000000003,695.2697318307478,
138,1,0,obstacle_collision,,,293.9999999999998,638.173957475546,
139,1,0,boundary_collision,,,138.00000000000017,583.9726020970504,
140,1,0,boundary_collision,,,89.99999999999983,703.6831673416666,
141,1,0,boundary_collision,,,53.999999999999986,654.5242547071881,
142,1,0,boundary_collision,,,179.9999999999999,665.5163408962999,
143,1,0,obstacle_collision,,,140.9999999999999,540.0009259251322,
144,1,0,obstacle_collision,,,407.9999999999999,722.2638022218752,
145,1,0,boundary_collision,,,129.00000000000014,689.6035092718133,
146,1,0,boundary_collision,,,93.0,652.110420097701,
147,1,0,obstacle_collision,,,797.9999999999995,578.7270513808734,
148,1,0,boundary_collision,,,156.00000000000003,641.346240341362,
149,1,0,boundary_collision,,,234.00000000000014,586.2849136725249,
150,1,0,obstacle_collision,,,299.99999999999983,633.6221271388807,
151,1,0,obstacle_collision,,,176.99999999999977,643.1329567049103,
152,1,0,boundary_collision,,,191.99999999999974,631.40478300374,
153,1,0,boundary_collision,,,318.00000000000034,633.1792795093661,
154,1,0,boundary_collision,,,105.00000000000009,605.6219943165869,
155,1,0,obstacle_collision,,,314.9999999999999,560.1160594019779,
156,1,0,obstacle_collision,,,140.99999999999991,617.4479735167976,
157,1,0,boundary_collision,,,74.99999999999999,724.2057718632184,
158,1,0,boundary_collision,,,117.0,716.0446913426564,
159,1,0,obstacle_collision,,,323.9999999999998,652.3381025204644,
160,1,0,boundary_collision,,,177.00000000000003,567.0670154399743,
161,1,0,boundary_collision,,,648.0,611.9191123016178,
162,1,0,obstacle_collision,,,101.99999999999986,691.158447825099,
163,1,0,obstacle_collision,,,225.00000000000009,647.0278201128604,
164,1,0,boundary_collision,,,261.0000000000001,640.4100249059192,
165,1,0,boundary_collision,,,99.0,614.7658090687868,
166,1,0,obstacle_collision,,,417.0,538.8033036275854,
167,1,0,boundary_collision,,,177.00000000000006,688.1925602620244,
168,1,0,boundary_collision,,,206.99999999999935,581.2434945872512,
169,1,0,boundary_collision,,,131.99999999999966,626.4862328894387,
170,1,0,obstacle_collision,,,251.99999999999966,610.5800520816251,
171,1,0,obstacle_collision,,,350.99999999999943,668.0905627233482,
172,1,0,boundary_collision,,,486.00000000000034,588.192145476289,
173,1,0,obstacle_collision,,,156.00000000000006,682.7364059430257,
174,1,0,boundary_collision,,,282.0000000000003,610.98363316868,
175,1,0,boundary_collision,,,141.0000000000002,581.581464628989,
176,1,0,obstacle_collision,,,314.99999999999966,662.487735735538,
177,1,0,boundary_collision,,,90.00000000000006,543.0893112555245,
