episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,677.9999999999999,648.4203883284362,1.0456179543456632
2,1,0,obstacle_collision,,,311.9999999999997,617.2074205645943,
3,1,0,obstacle_collision,,,533.9999999999995,548.7531321095124,
4,1,0,obstacle_collision,,,216.00000000000028,618.8578188889593,
5,1,0,obstacle_collision,,,258.00000000000017,729.1124741766527,
6,1,0,obstacle_collision,,,506.9999999999998,630.9675110494993,
7,1,0,obstacle_collision,,,359.9999999999999,621.4338259219561,
8,1,0,obstacle_collision,,,146.99999999999974,669.1464712602167,
9,1,0,obstacle_collision,,,236.99999999999994,675.0829578651797,
10,0,1,success,,,615.0000000000003,529.3061495958648,1.1618984598413686
11,0,1,success,,,789.0000000000002,703.5289617350518,1.1214890117020324
12,1,0,obstacle_collision,,,863.9999999999999,691.7116451238912,
13,1,0,obstacle_collision,,,678.0,731.3795184444257,
14,1,0,obstacle_collision,,,167.99999999999991,689.8296891262364,
15,1,0,obstacle_collision,,,230.9999999999999,590.3329568980542,
16,0,1,success,,,693.0000000000001,660.6004844079363,1.049045552276732
17,0,1,success,,,642.0000000000006,639.3621821784582,1.0041257019809253
18,1,0,obstacle_collision,,,170.99999999999955,626.0894504781246,
19,1,0,obstacle_collision,,,273.0000000000001,639.731975127084,
20,1,0,obstacle_collision,,,377.99999999999966,580.1585990054789,
21,0,1,success,,,656.9999999999993,639.9703118114152,1.0266101221795463
22,1,0,obstacle_collision,,,503.99999999999955,564.6600747352339,
23,0,1,success,,,654.0,648.1674166448048,1.0089985753763853
24,1,0,obstacle_collision,,,305.9999999999999,602.097998667991,
25,0,1,success,,,912.0000000000018,776.342707829474,1.174738927541167
26,1,0,obstacle_collision,,,351.00000000000006,584.8828942617488,
27,1,0,obstacle_collision,,,663.0000000000007,644.3019478474359,
28,1,0,boundary_collision,,,44.99999999999999,744.7482796220479,
29,0,1,success,,,651.0000000000011,605.3602233381378,1.0753927577371898
30,1,0,obstacle_collision,,,501.00000000000017,618.3890361253182,
31,0,1,success,,,843.0,686.6330897939598,1.2277299368909846
32,0,1,success,,,822.0,706.2251765549003,1.16393471556745
33,1,0,obstacle_collision,,,402.0000000000004,665.0067668828641,
