step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.0021805842,23.60672,1.0,88,0,,
4000,0.7523318,14.740034,0.9915254237288136,118,0,,
6000,0.0044250595,39.333534,0.993006993006993,143,0,,
8000,0.7784889,13.983723,0.9940476190476191,168,0,,
10000,2.0718431,7.98822,0.9949238578680203,197,0,,
12000,0.020738494,6.6076884,0.9955947136563876,227,0,,
14000,0.052437052,15.33365,0.9959016393442623,244,0,,
16000,0.7689866,21.205008,0.996268656716418,268,0,,
18000,0.03165552,23.815275,0.9930313588850174,287,0,,
20000,0.56852305,-7.357808,0.9935897435897436,312,0,,
22000,1.4303974,-8.629502,0.9939393939393939,330,0,,
24000,0.8677443,22.407345,0.9943181818181818,352,0,,
26000,0.84734154,18.893774,0.9946236559139785,372,0,,
28000,0.75395197,-18.815418,0.9948453608247423,388,0,,
30000,0.23697183,42.58784,0.995049504950495,404,0,,
32000,0.8874327,14.522825,0.995260663507109,422,0,,
34000,0.13409069,3.027972,0.9954545454545455,440,0,,
36000,0.7270068,2.9211793,0.9870689655172413,464,0,,
38000,1.0722555,-5.984111,0.9835390946502057,486,0,,
40000,1.7406039,-9.297861,0.984,508,0,,
42000,0.082629,-27.731026,0.984,528,0,,
44000,0.59821606,-18.494991,0.984,548,0,,
46000,0.26466194,-7.1350155,0.984,567,0,,
48000,0.070602015,23.277311,0.984,589,0,,
50000,1.223829,23.382847,0.984,608,0,,
52000,1.6680232,15.711335,0.984,627,0,,
54000,0.3858062,12.778105,0.984,650,0,,
56000,0.071533546,39.662815,0.984,668,0,,
58000,0.09695415,35.407154,0.984,687,0,,
60000,1.1001925,25.366972,0.984,702,0,,
62000,1.6992364,17.72932,0.984,716,0,,
64000,0.15408769,-10.301053,0.984,739,0,,
66000,0.44648492,25.862476,0.984,752,0,,
68000,0.17674011,51.934258,0.984,769,0,,
70000,1.3622884,26.840971,0.984,787,0,,
72000,0.12614073,26.855532,0.984,802,0,,
74000,0.49423313,-16.840843,0.984,827,0,,
76000,0.29499397,22.331533,0.984,846,0,,
78000,0.20389995,8.128656,0.984,866,0,,
80000,0.56441367,-2.5529943,0.984,882,0,,
82000,1.2631891,9.341251,0.984,901,0,,
84000,0.10364025,9.096953,0.984,917,0,,
86000,0.112928145,14.070111,0.984,937,0,,
88000,0.16144893,16.144068,0.984,956,0,,
90000,2.0490394,-22.730114,0.984,979,0,,
92000,0.88715416,12.417535,0.984,999,0,,
94000,1.013454,7.840921,0.984,1019,0,,
96000,2.2258587,6.2593813,0.984,1042,0,,
98000,2.0131707,3.1149695,0.984,1059,0,,
100000,0.14954251,-14.928537,0.984,1079,0,,
102000,0.43218696,-0.63464797,0.984,1098,0,,
104000,0.40659326,0.63206536,0.984,1115,0,,
106000,1.7187676,11.470076,0.984,1136,0,,
108000,0.047140628,12.708654,0.984,1159,0,,
110000,0.053553037,-4.960337,0.984,1180,0,,
112000,0.37430996,18.439054,0.984,1207,0,,
114000,1.1166158,11.107259,0.984,1219,0,,
116000,0.15883678,0.10255305,0.984,1242,0,,
118000,0.20724912,19.414953,0.984,1258,0,,
120000,0.27282017,-15.297648,0.984,1277,0,,
122000,0.735627,-7.3012624,0.984,1296,0,,
124000,0.4995322,-6.3361073,0.984,1318,0,,
126000,0.10052494,5.236195,0.984,1341,0,,
128000,0.084475204,-15.63822,0.984,1357,0,,
130000,0.1257157,-13.592065,0.984,1373,0,,
132000,1.6141192,5.918602,0.984,1390,0,,
134000,1.121839,3.7946408,0.984,1406,0,,
136000,0.65214384,38.40448,0.984,1422,0,,
138000,0.16360441,-0.88822275,0.984,1438,0,,
140000,1.2065915,4.2728066,0.984,1456,0,,
142000,0.16955458,10.14692,0.984,1472,0,,
144000,0.29644462,15.0435095,0.984,1488,0,,
146000,3.9151564,-3.470314,0.984,1508,0,,
148000,0.09741475,4.995116,0.984,1523,0,,
150000,0.12002518,-6.256822,0.984,1536,0,,
152000,0.07725516,29.494152,0.984,1556,0,,
154000,0.9924007,-3.7986064,0.984,1575,0,,
156000,1.2863387,-0.6174668,0.984,1590,0,,
158000,0.81963557,-4.6104646,0.984,1610,0,,
160000,0.89440745,12.49264,0.984,1627,0,,
162000,0.45215625,5.485252,0.984,1645,0,,
164000,2.4703112,9.482744,0.984,1664,0,,
166000,1.5350193,21.54296,0.984,1677,0,,
168000,0.3909446,33.837814,0.984,1693,0,,
170000,0.29460096,16.964499,0.984,1710,0,,
172000,0.63078356,-1.2445647,0.984,1725,0,,
174000,0.12289737,19.052723,0.984,1743,0,,
176000,2.7957816,12.547175,0.984,1761,0,,
178000,0.09885956,3.236702,0.984,1781,0,,
180000,0.15630974,3.3686464,0.984,1797,0,,
182000,0.29387438,25.606659,0.984,1811,0,,
184000,1.0331995,57.120743,0.984,1828,0,,
186000,0.1945541,35.812866,0.984,1843,0,,
188000,0.09667796,43.44493,0.984,1856,0,,
190000,0.59654266,35.15074,0.984,1871,0,,
192000,0.23061785,-12.141338,0.984,1884,1,190000,39.427188110351565
194000,2.2497435,11.527134,0.984,1898,1,190000,39.427188110351565
196000,1.4603736,54.40978,0.984,1913,1,190000,39.427188110351565
198000,0.13633645,23.433607,0.984,1923,1,190000,39.427188110351565
200000,0.04812331,31.202759,0.984,1940,1,190000,39.427188110351565
