step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.0015728939,71.24937,0.9863013698630136,73,0,,
4000,0.0031746766,119.1021,0.9885057471264368,87,0,,
6000,0.0050493833,93.372215,0.9716981132075472,106,0,,
8000,0.0066502085,101.26916,0.9772727272727273,132,0,,
10000,0.014770731,100.557594,0.9736842105263158,152,0,,
12000,0.012633078,83.9179,0.9647058823529412,170,1,10000,97.1100860595703
14000,0.012642146,69.212776,0.9567567567567568,185,1,10000,97.1100860595703
16000,0.012087075,41.32127,0.949748743718593,199,1,10000,97.1100860595703
18000,0.012048693,37.346855,0.9488372093023256,215,1,10000,97.1100860595703
20000,0.6443245,63.426704,0.9393939393939394,231,1,10000,97.1100860595703
22000,0.0638097,35.309788,0.9404761904761905,252,1,10000,97.1100860595703
24000,0.05959076,27.12224,0.9422382671480144,277,1,10000,97.1100860595703
26000,0.6054919,31.196404,0.9425675675675675,296,1,10000,97.1100860595703
28000,0.039880447,16.280064,0.9387096774193548,310,1,10000,97.1100860595703
30000,0.052379575,42.22386,0.9420731707317073,328,1,10000,97.1100860595703
32000,0.5293748,60.197453,0.938953488372093,344,1,10000,97.1100860595703
34000,0.08303827,26.432487,0.9361111111111111,360,1,10000,97.1100860595703
36000,0.4195829,35.69271,0.9306666666666666,375,1,10000,97.1100860595703
38000,0.05688549,30.650398,0.927461139896373,386,1,10000,97.1100860595703
40000,0.16468759,54.936836,0.9221105527638191,398,1,10000,97.1100860595703
42000,0.06350333,71.64535,0.9230769230769231,416,1,10000,97.1100860595703
44000,0.94713783,36.783554,0.9234338747099768,431,1,10000,97.1100860595703
46000,0.041432407,67.47695,0.9160997732426304,441,1,10000,97.1100860595703
48000,0.6840126,35.83727,0.9166666666666666,456,1,10000,97.1100860595703
50000,0.07079366,49.555576,0.9129511677282378,471,1,10000,97.1100860595703
52000,0.17288345,73.62409,0.911522633744856,486,1,10000,97.1100860595703
54000,0.13903084,68.79353,0.908,503,1,10000,97.1100860595703
56000,0.24779655,96.35587,0.908,515,1,10000,97.1100860595703
58000,0.056271013,74.43148,0.908,526,1,10000,97.1100860595703
60000,1.9900378,66.964,0.908,538,1,10000,97.1100860595703
62000,0.12030521,58.238743,0.908,548,1,10000,97.1100860595703
64000,1.4671968,85.307915,0.908,563,1,10000,97.1100860595703
66000,0.16093992,72.223045,0.908,573,1,10000,97.1100860595703
68000,0.15306371,79.04284,0.908,587,1,10000,97.1100860595703
70000,0.097397864,57.90505,0.908,601,1,10000,97.1100860595703
72000,1.1815809,73.95753,0.908,613,1,10000,97.1100860595703
74000,0.1473094,92.28736,0.908,628,1,10000,97.1100860595703
76000,0.2796958,86.22035,0.908,639,1,10000,97.1100860595703
78000,0.103466064,85.185165,0.908,652,1,10000,97.1100860595703
80000,0.5795355,76.6395,0.908,666,1,10000,97.1100860595703
82000,0.34009844,104.72639,0.908,679,1,10000,97.1100860595703
84000,0.04873173,92.02691,0.908,693,1,10000,97.1100860595703
86000,0.059385,87.34157,0.908,705,1,10000,97.1100860595703
88000,0.3407078,101.69986,0.908,717,1,10000,97.1100860595703
90000,0.13653125,108.300644,0.908,729,1,10000,97.1100860595703
92000,0.07941431,130.79922,0.908,740,1,10000,97.1100860595703
94000,1.0743135,64.71255,0.908,755,1,10000,97.1100860595703
96000,0.055824883,110.01741,0.908,767,1,10000,97.1100860595703
98000,0.03122155,83.69445,0.908,777,1,10000,97.1100860595703
100000,0.42881745,80.864296,0.908,791,1,10000,97.1100860595703
102000,0.17998119,100.035126,0.908,805,1,10000,97.1100860595703
104000,0.1720982,90.2199,0.908,817,1,10000,97.1100860595703
106000,0.075649664,92.23199,0.908,825,1,10000,97.1100860595703
108000,0.2090777,95.020615,0.908,840,1,10000,97.1100860595703
110000,0.20512873,95.75212,0.908,853,1,10000,97.1100860595703
112000,0.109036505,60.468147,0.908,863,1,10000,97.1100860595703
114000,0.21855876,102.96132,0.908,875,1,10000,97.1100860595703
116000,0.019744016,85.97547,0.908,885,1,10000,97.1100860595703
118000,0.07819986,83.29835,0.908,897,1,10000,97.1100860595703
120000,0.073332205,66.45725,0.908,908,1,10000,97.1100860595703
