episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,551.9999999999997,574.6111728812798,0.9606496115139901
2,0,1,success,,,551.9999999999995,568.3388074027674,0.9712516421719748
3,0,1,success,,,587.9999999999991,590.0389817630696,0.9965443270256857
4,1,0,obstacle_collision,,,390.0000000000006,587.2461153553934,
5,0,1,success,,,515.9999999999994,531.2861752389197,0.9712279822977776
6,0,1,success,,,579.0,581.0129086345672,0.9965355182223098
7,0,1,success,,,687.0,675.6359966727646,1.0168197126606613
8,0,1,success,,,566.9999999999972,592.5622330186088,0.9568615217200167
9,1,0,obstacle_collision,,,320.9999999999992,634.2570456841611,
10,0,1,success,,,686.9999999999989,600.3673875220072,1.1442993311738072
11,0,1,success,,,603.0000000000001,599.2161546553965,1.0063146584336993
12,0,1,success,,,489.0000000000021,513.0623743756698,0.9531004891852604
13,0,1,success,,,635.9999999999998,556.6129714622181,1.1426251859155072
14,1,0,obstacle_collision,,,335.9999999999996,576.5500845546725,
15,0,1,success,,,584.9999999999993,608.0666081935432,0.962065655501014
16,1,0,obstacle_collision,,,87.0,634.4611887263081,
17,0,1,success,,,624.0,623.5270643685004,1.0007584845286204
18,0,1,success,,,600.0000000000009,608.888331305503,0.9854023622255252
19,1,0,obstacle_collision,,,216.00000000000009,615.8904123299859,
20,0,1,success,,,728.9999999999994,743.6161644289344,0.9803444772611155
21,0,1,success,,,732.0000000000001,727.3822928831853,1.0063483908833017
22,1,0,obstacle_collision,,,263.99999999999994,590.4345857078496,
23,0,1,success,,,626.9999999999992,632.0284803709402,0.9920439022494845
24,1,0,obstacle_collision,,,146.99999999999983,643.4718331053815,
25,0,1,success,,,750.0000000000009,661.2087416240048,1.134286274192193
26,0,1,success,,,741.0,658.8634152842302,1.1246640545071644
27,0,1,success,,,536.999999999999,537.4625568353576,0.999139369190512
28,0,1,success,,,518.9999999999999,538.9703145814248,0.9629472829186627
29,1,0,obstacle_collision,,,417.0000000000014,615.7808051571598,
