episode,termination_reason,collision,success,steps,episode_return,path_efficiency_ratio
1,success,0,1,242,164.5263803186511,1.0378611361542718
2,obstacle_collision,1,0,27,-53.10023691092706,
3,obstacle_collision,1,0,122,-20.396628283766812,
4,success,0,1,292,158.90026190952216,1.349090018439667
5,success,0,1,260,158.8016331601172,1.210360334977594
6,obstacle_collision,1,0,94,-30.542884397210706,
7,obstacle_collision,1,0,151,-25.31396418069783,
8,obstacle_collision,1,0,24,-44.15975611483,
9,obstacle_collision,1,0,55,-35.33127720405008,
10,obstacle_collision,1,0,148,-21.02295170400078,
11,success,0,1,248,161.55800681587556,1.1097397214616778
12,obstacle_collision,1,0,114,-19.37268621710513,
13,success,0,1,280,160.31212953494145,1.2702887691354772
14,success,0,1,246,161.0240912515316,1.1083167698390461
15,success,0,1,237,164.7946614798263,1.0104958663340444
16,obstacle_collision,1,0,89,-29.73193587846486,
17,obstacle_collision,1,0,55,-37.0767503244279,
18,obstacle_collision,1,0,48,-43.41682678584359,
19,success,0,1,185,150.95575499214414,0.9907618638509038
20,obstacle_collision,1,0,116,-31.140583503471102,
21,obstacle_collision,1,0,163,-36.30532582506659,
22,obstacle_collision,1,0,39,-50.26968625076676,
23,obstacle_collision,1,0,39,-40.08206364972203,
24,obstacle_collision,1,0,128,-16.46088327895155,
25,obstacle_collision,1,0,69,-49.460024893379526,
26,success,0,1,211,157.15054597865776,1.0160186432125993
27,success,0,1,238,157.7408650220556,1.1267802142759868
28,obstacle_collision,1,0,144,-13.878227740597033,
29,success,0,1,212,151.14619481847987,1.128459829587109
30,success,0,1,255,160.69462644828238,1.1499820398073106
31,success,0,1,239,160.14681020358367,1.0908555093717702
32,obstacle_collision,1,0,58,-41.16176657256493,
33,obstacle_collision,1,0,44,-43.29544220749344,
34,success,0,1,216,157.368734602096,1.0327457147192984
35,success,0,1,182,148.31903158224344,1.0261689578634108
36,success,0,1,217,160.35975466747695,0.9934752413622312
37,obstacle_collision,1,0,73,-34.001461645808085,
38,obstacle_collision,1,0,473,-1.3621504551287416,
39,obstacle_collision,1,0,54,-37.14657995995691,
40,success,0,1,248,157.06736989634913,1.1848020025314614
41,obstacle_collision,1,0,170,-11.091031130323628,
42,success,0,1,245,164.06923885966677,1.0559897952735535
43,obstacle_collision,1,0,35,-45.065716541741,
44,obstacle_collision,1,0,185,-6.073895816883606,
45,obstacle_collision,1,0,170,-2.008329313420738,
46,obstacle_collision,1,0,190,-7.324846558076402,
47,success,0,1,199,153.43812536151768,1.018765397602588
48,success,0,1,207,151.4700959017979,1.096789762053267
49,success,0,1,228,165.5782370536107,0.9633793261467472
50,success,0,1,226,156.0005324224768,1.1062346216552963
51,obstacle_collision,1,0,47,-49.52943735631435,
52,success,0,1,219,158.67056228249538,1.0267129084157405
53,obstacle_collision,1,0,38,-40.40134122395989,
54,obstacle_collision,1,0,197,-0.7853661169586417,
55,obstacle_collision,1,0,114,-30.573535334101077,
56,boundary_collision,1,0,17,-53.135257555637565,
57,success,0,1,219,160.41694392332943,0.9975912576388418
58,obstacle_collision,1,0,198,-5.180430713053845,
59,obstacle_collision,1,0,41,-41.44472717788669,
60,obstacle_collision,1,0,86,-28.11277604823705,
61,success,0,1,290,168.92839694840671,1.1611669140006067
62,obstacle_collision,1,0,211,-0.8840252961592725,
63,obstacle_collision,1,0,68,-32.0856279027082,
64,obstacle_collision,1,0,155,-11.167185921086286,
65,obstacle_collision,1,0,30,-45.061869538597946,
66,obstacle_collision,1,0,141,-20.555631647549685,
67,obstacle_collision,1,0,78,-32.064563582134085,
68,obstacle_collision,1,0,96,-23.85290592869613,
69,obstacle_collision,1,0,58,-43.85219367429556,
70,success,0,1,190,149.1237028100915,1.0537862751552856
71,success,0,1,201,151.6192517809669,1.0630160284139125
72,success,0,1,283,163.02787649576004,1.233109290291479
73,obstacle_collision,1,0,112,-21.99735637309338,
74,obstacle_collision,1,0,93,-24.008410527362383,
75,success,0,1,198,154.7316689650624,0.9923375026790199
76,success,0,1,263,158.624718605208,1.2266453630666874
77,success,0,1,239,158.276326684798,1.125017695174009
78,obstacle_collision,1,0,156,-28.379447935740476,
79,success,0,1,232,153.35187165378989,1.1836580636927205
80,success,0,1,202,156.63537277305443,0.9815892411942487
81,success,0,1,270,172.64248802571845,1.0333910999510985
82,obstacle_collision,1,0,215,1.001010033115925,
83,obstacle_collision,1,0,183,-6.466842657584195,
84,obstacle_collision,1,0,70,-45.32590912818056,
85,success,0,1,266,153.81783649339786,1.3401604498786868
86,obstacle_collision,1,0,234,5.752459223214686,
87,success,0,1,221,157.43539387670745,1.0549343309604702
88,obstacle_collision,1,0,90,-26.02468145566258,
89,boundary_collision,1,0,17,-51.5660776042044,
90,obstacle_collision,1,0,52,-41.17646049359783,
91,obstacle_collision,1,0,92,-24.562000178851328,
92,obstacle_collision,1,0,47,-42.61613562205177,
93,success,0,1,282,168.2628556058222,1.1414499324734289
94,obstacle_collision,1,0,163,-17.4972153907258,
95,success,0,1,275,161.60666178434718,1.2221672343161818
96,obstacle_collision,1,0,77,-39.84139283858631,
97,obstacle_collision,1,0,64,-34.80623771140561,
98,obstacle_collision,1,0,38,-47.782952962834024,
99,obstacle_collision,1,0,64,-35.27670503341105,
100,obstacle_collision,1,0,274,9.149201723720275,
