generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
1,479.9964599609375,-127.32135009765625,479.9964599609375,0.2,"[3.5317184925079346, -1.3667683601379395, 7.379048824310303, 6.485610485076904, -0.48673418164253235, 0.0812125876545906, 0.4209336042404175]",0.03333333333333333,0.9666666666666667,0.9666666666666667,0.0,-24.276667422076994
2,525.8910522460938,-12.85827350616455,525.8910522460938,0.196,"[1.565497875213623, 5.05158805847168, -0.46148258447647095, -0.45709723234176636, 0.4445479214191437, 0.26957741379737854, 0.9488712549209595]",,,,,
3,531.6726684570312,91.7027816772461,531.6726684570312,0.19208,"[1.4363322257995605, 1.405356526374817, 2.8526155948638916, -1.546890377998352, 0.27932143211364746, 0.10470567643642426, 0.8396192193031311]",,,,,
4,749.8529663085938,151.06272888183594,749.8529663085938,0.1882384,"[1.6350775957107544, 4.207432746887207, -0.18998950719833374, 0.12868112325668335, 0.1192706748843193, 0.06847558170557022, 0.777875542640686]",,,,,
5,701.3617553710938,163.6622772216797,749.8529663085938,0.184473632,"[1.6350775957107544, 4.207432746887207, -0.18998950719833374, 0.12868112325668335, 0.1192706748843193, 0.06847558170557022, 0.777875542640686]",0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,42.48288460292665
6,723.3927001953125,185.0758819580078,749.8529663085938,0.18078415936,"[1.6350775957107544, 4.207432746887207, -0.18998950719833374, 0.12868112325668335, 0.1192706748843193, 0.06847558170557022, 0.777875542640686]",,,,,
7,886.1780395507812,200.60675048828125,886.1780395507812,0.1771684761728,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
8,887.6019897460938,173.8543243408203,887.6019897460938,0.173625106649344,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
9,722.7437744140625,212.14730834960938,887.6019897460938,0.1701526045163571,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",,,,,
10,522.3991088867188,222.4166717529297,887.6019897460938,0.16674955242602996,"[2.1516032218933105, 2.3676679134368896, 1.1934698820114136, 1.0454695224761963, 0.4915574789047241, 0.11524993181228638, 0.888588011264801]",0.3,0.7,0.6666666666666666,0.03333333333333333,29.597563591410474
