episode,termination_reason,collision,success,steps,episode_return,path_efficiency_ratio
1,success,0,1,209,159.07274492981347,0.976105171300454
2,success,0,1,217,154.84202550509326,1.083098724466339
3,success,0,1,188,153.68573901828964,0.9586625376474442
4,success,0,1,215,155.68323283610624,1.0571526304912346
5,success,0,1,212,156.21589300981228,1.0342215404227253
6,success,0,1,263,170.04415344575807,1.0401587391589244
7,success,0,1,194,149.80312086011415,1.058328769899295
8,obstacle_collision,1,0,60,-45.03226517004585,
9,obstacle_collision,1,0,124,-17.674780358779273,
10,success,0,1,177,149.25606449287352,0.9791633077787846
11,success,0,1,197,155.2699225137135,0.9799432022491605
12,success,0,1,222,160.92394439449913,1.0065419657316772
13,success,0,1,202,154.12970580028806,1.023730441921355
14,success,0,1,225,160.73714678035026,1.0199854734955112
15,success,0,1,239,163.3032549738755,1.0434194392001284
16,obstacle_collision,1,0,116,-23.339059407176546,
17,success,0,1,236,158.7395050971266,1.100151075277948
18,success,0,1,198,156.33609763398076,0.9677810327835463
19,success,0,1,221,161.58817479388532,0.9916253543316038
20,success,0,1,241,161.21340842496733,1.084806908168617
21,success,0,1,231,164.67625648671066,0.9890215544934612
22,success,0,1,188,153.74361279933544,0.9614108141881981
23,obstacle_collision,1,0,213,-0.45049849722261825,
24,success,0,1,199,156.91851370189116,0.9608830953708137
25,success,0,1,201,151.04340280747294,1.0754952768095862
26,success,0,1,202,154.2377154303008,1.0219166162070112
27,success,0,1,239,165.56896936782147,1.00755824935972
28,success,0,1,214,157.40513092083256,1.0246534985297695
29,success,0,1,224,158.7979096523847,1.0488713293013567
30,success,0,1,198,155.16195540237783,0.9844196641595939
31,success,0,1,208,158.93530066682155,0.974375752615161
32,success,0,1,227,158.57240665952799,1.0632101450453106
33,success,0,1,239,157.39103336764109,1.14029665026558
34,success,0,1,217,158.47949723558162,1.0226183528290853
35,obstacle_collision,1,0,66,-33.50194040703839,
36,success,0,1,196,152.54580463945388,1.0198363497843348
37,success,0,1,223,159.82860268243405,1.0256092977037692
38,success,0,1,262,167.99717703284557,1.065313544767436
39,obstacle_collision,1,0,134,-18.804395866271722,
40,success,0,1,236,164.08066179516004,1.0186755111009076
41,success,0,1,202,155.22128250982706,1.005949428533003
42,success,0,1,205,153.6279786739446,1.043768103344212
43,success,0,1,222,155.5502438953112,1.092790495926029
44,success,0,1,229,158.00419971458695,1.0835908229352111
45,success,0,1,184,151.27882847246627,0.9792391786438932
46,success,0,1,227,160.2834116366082,1.0358339970232413
47,success,0,1,247,164.31419228948306,1.0586524509921247
48,success,0,1,181,151.0690683952833,0.9681236381460104
49,obstacle_collision,1,0,114,-21.262461162025936,
50,success,0,1,191,154.1828320777832,0.9664051102424897
51,success,0,1,266,166.58720086427994,1.1044615084601965
52,obstacle_collision,1,0,136,-14.448357676455977,
53,success,0,1,226,156.3766630980048,1.096357050182971
54,success,0,1,207,156.98571232687425,0.9994183602060142
55,success,0,1,194,154.45879045650014,0.9758015814419182
56,success,0,1,214,155.31958112545695,1.0618128374591627
57,obstacle_collision,1,0,168,-5.310339578856585,
58,success,0,1,227,164.4318133513456,0.9740296659129934
59,obstacle_collision,1,0,199,2.045997009184852,
60,obstacle_collision,1,0,129,-15.837452163970056,
61,obstacle_collision,1,0,114,-18.69575752480261,
62,success,0,1,212,158.82735678730867,0.990249456671812
63,success,0,1,226,156.2830487786233,1.0972482755963973
64,success,0,1,245,157.7793771279868,1.1606566960460745
65,success,0,1,194,152.62285388124,1.010989703730997
66,success,0,1,218,156.4477676096886,1.0566476092306267
67,success,0,1,200,156.76150782622528,0.969715412373407
68,success,0,1,210,158.3782353188927,0.9899666043429393
69,obstacle_collision,1,0,136,-21.691148629060343,
70,success,0,1,193,154.71187455856472,0.966760570238192
71,success,0,1,230,158.72690630251415,1.0763788773481642
72,success,0,1,219,161.5783513369114,0.9818215012111958
73,success,0,1,183,151.2300282832171,0.9786593806836553
74,success,0,1,192,148.8082040635017,1.0666209448694932
75,success,0,1,213,160.66377236509157,0.969837476693719
76,success,0,1,237,160.97654571460924,1.06816496453469
77,success,0,1,208,159.39765659972878,0.9653268509479995
78,success,0,1,205,158.74721342335806,0.9617678998759136
79,success,0,1,201,156.8299383285973,0.971987872854272
80,success,0,1,228,157.1210844123969,1.0959891966829707
81,success,0,1,181,151.5542473496912,0.9589240422909013
82,success,0,1,223,162.74057425113958,0.983122156949384
83,obstacle_collision,1,0,72,-44.29109527991953,
84,success,0,1,238,163.8330264138149,1.0288910785977528
85,success,0,1,211,160.32976636233727,0.9654843633293217
86,success,0,1,199,156.7186970138979,0.9669135177508115
87,success,0,1,233,157.03261275727425,1.1164823689763845
88,success,0,1,228,164.02830520080744,0.9855253017588611
89,boundary_collision,1,0,14,-49.70073992077028,
90,obstacle_collision,1,0,76,-32.748205498012084,
91,success,0,1,202,154.22079418818004,1.0192246760064327
92,success,0,1,251,170.74774361251622,0.9847033259432385
93,obstacle_collision,1,0,227,3.886136143824011,
94,obstacle_collision,1,0,93,-27.352235364034225,
95,obstacle_collision,1,0,130,-18.295805789152407,
96,success,0,1,199,150.38665869670643,1.0730799428661586
97,success,0,1,198,156.5597699800528,0.9611600153040997
98,success,0,1,205,157.96186174513932,0.9748638054978302
99,obstacle_collision,1,0,86,-31.384992340349005,
100,obstacle_collision,1,0,107,-25.468255984126895,
