generation,gen_best_score,gen_mean_score,global_best_score,sigma,best_params,validation_success_rate,validation_collision_rate,validation_obstacle_collision_rate,validation_boundary_collision_rate,validation_avg_return
1,510.1978759765625,-66.05672454833984,510.1978759765625,0.2,"[3.426548480987549, -0.8617902398109436, 7.466476917266846, 7.417919635772705, 0.5648151636123657, 0.18250200152397156, 0.7621172666549683]",0.43333333333333335,0.5333333333333333,0.5,0.03333333333333333,57.0129718123702
2,911.5303955078125,244.9016571044922,911.5303955078125,0.196,"[2.9606595039367676, 4.149453639984131, -5.041891574859619, 1.8111984729766846, 0.04339180886745453, 0.05000000074505806, 0.3732423186302185]",,,,,
3,896.8749389648438,361.09027099609375,911.5303955078125,0.19208,"[2.9606595039367676, 4.149453639984131, -5.041891574859619, 1.8111984729766846, 0.04339180886745453, 0.05000000074505806, 0.3732423186302185]",,,,,
4,902.4848022460938,453.86444091796875,911.5303955078125,0.1882384,"[2.9606595039367676, 4.149453639984131, -5.041891574859619, 1.8111984729766846, 0.04339180886745453, 0.05000000074505806, 0.3732423186302185]",,,,,
5,894.2919311523438,513.4798583984375,911.5303955078125,0.184473632,"[2.9606595039367676, 4.149453639984131, -5.041891574859619, 1.8111984729766846, 0.04339180886745453, 0.05000000074505806, 0.3732423186302185]",0.43333333333333335,0.5666666666666667,0.5333333333333333,0.03333333333333333,56.946879352952195
6,912.4720458984375,510.73187255859375,912.4720458984375,0.18078415936,"[2.7510769367218018, 2.8194966316223145, 1.1987484693527222, -0.6092585325241089, -0.10311326384544373, 0.2435726672410965, 0.8858102560043335]",,,,,
7,909.0223999023438,558.6292114257812,912.4720458984375,0.1771684761728,"[2.7510769367218018, 2.8194966316223145, 1.1987484693527222, -0.6092585325241089, -0.10311326384544373, 0.2435726672410965, 0.8858102560043335]",,,,,
8,922.33349609375,593.7862548828125,922.33349609375,0.173625106649344,"[3.339625835418701, 2.798177480697632, 1.0083450078964233, -0.577397346496582, 0.1483258306980133, 0.05000000074505806, 1.1208882331848145]",,,,,
9,919.4754028320312,605.6273193359375,922.33349609375,0.1701526045163571,"[3.339625835418701, 2.798177480697632, 1.0083450078964233, -0.577397346496582, 0.1483258306980133, 0.05000000074505806, 1.1208882331848145]",,,,,
10,913.5263671875,628.2196044921875,922.33349609375,0.16674955242602996,"[3.339625835418701, 2.798177480697632, 1.0083450078964233, -0.577397346496582, 0.1483258306980133, 0.05000000074505806, 1.1208882331848145]",0.6,0.4,0.4,0.0,90.27816707726859
11,918.8006591796875,628.2054443359375,922.33349609375,0.16341456137750934,"[3.339625835418701, 2.798177480697632, 1.0083450078964233, -0.577397346496582, 0.1483258306980133, 0.05000000074505806, 1.1208882331848145]",,,,,
12,919.5134887695312,649.2723999023438,922.33349609375,0.16014627014995916,"[3.339625835418701, 2.798177480697632, 1.0083450078964233, -0.577397346496582, 0.1483258306980133, 0.05000000074505806, 1.1208882331848145]",,,,,
13,908.616455078125,629.8924560546875,922.33349609375,0.15694334474695998,"[3.339625835418701, 2.798177480697632, 1.0083450078964233, -0.577397346496582, 0.1483258306980133, 0.05000000074505806, 1.1208882331848145]",,,,,
14,939.0879516601562,643.9041137695312,939.0879516601562,0.15380447785202078,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
15,915.82373046875,639.8602294921875,939.0879516601562,0.15072838829498036,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.7,0.3,0.26666666666666666,0.03333333333333333,103.51892837309252
16,917.5923461914062,653.4129638671875,939.0879516601562,0.14771382052908075,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
17,908.6072387695312,658.5391845703125,939.0879516601562,0.14475954411849912,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
18,918.232666015625,673.2396240234375,939.0879516601562,0.14186435323612914,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
19,912.6077880859375,666.6046142578125,939.0879516601562,0.13902706617140656,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
20,918.2874145507812,680.1156005859375,939.0879516601562,0.13624652484797842,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,128.0597363787704
21,912.9790649414062,718.8923950195312,939.0879516601562,0.13352159435101885,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
22,915.855224609375,656.3275146484375,939.0879516601562,0.13085116246399847,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
23,916.9558715820312,645.6903076171875,939.0879516601562,0.1282341392147185,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
24,920.6865844726562,639.2571411132812,939.0879516601562,0.12566945643042413,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
25,927.5341796875,642.7158813476562,939.0879516601562,0.12315606730181564,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",0.9,0.1,0.1,0.0,140.641803960226
26,912.1408081054688,665.7664184570312,939.0879516601562,0.12069294595577933,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
27,907.9368286132812,641.7040405273438,939.0879516601562,0.11827908703666373,"[2.824733257293701, 2.921513557434082, 0.14030613005161285, -0.40527358651161194, 0.09267665445804596, 0.05899350717663765, 0.667172372341156]",,,,,
