episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,obstacle_collision,,,426.0000000000001,602.3993691895768,
2,0,1,success,,,734.9999999999999,663.7537193869425,1.1073384276910148
3,1,0,obstacle_collision,,,359.9999999999987,649.4897997659393,
4,1,0,obstacle_collision,,,185.99999999999997,574.2821606144491,
5,1,0,obstacle_collision,,,506.99999999999915,545.6189146281496,
6,0,1,success,,,719.9999999999999,642.9961119633617,1.1197579372626532
7,0,1,success,,,569.9999999999999,569.0562362368064,1.0016584718751782
8,1,0,obstacle_collision,,,306.00000000000006,762.5667183925614,
9,0,1,success,,,611.9999999999993,623.2984838742992,0.9818730765971533
10,0,1,success,,,621.0000000000001,589.858457598092,1.0527949408892376
11,0,1,success,,,642.0000000000003,581.8470589424682,1.1033827362930435
12,1,0,obstacle_collision,,,390.0,593.9705379898905,
13,1,0,obstacle_collision,,,293.99999999999994,633.6955104780213,
14,0,1,success,,,686.9999999999999,631.9145511855222,1.0871723063049157
15,1,0,obstacle_collision,,,189.00000000000037,592.1089426786257,
16,1,0,obstacle_collision,,,90.00000000000018,624.5398305952951,
17,0,1,success,,,573.0000000000002,584.0975945850146,0.9810004446381964
18,1,0,obstacle_collision,,,140.99999999999997,526.8405830989104,
19,1,0,obstacle_collision,,,473.9999999999999,677.5027675220227,
20,1,0,obstacle_collision,,,362.9999999999997,612.8825336065631,
21,1,0,obstacle_collision,,,710.9999999999999,677.1890430300833,
22,1,0,obstacle_collision,,,183.0,560.4578485488449,
23,0,1,success,,,669.0000000000011,646.703177663447,1.034477675549876
24,1,0,obstacle_collision,,,573.0,616.5257496650079,
25,1,0,obstacle_collision,,,381.0,638.7307727047445,
26,1,0,obstacle_collision,,,453.0,587.3414679724224,
27,0,1,success,,,618.0000000000005,545.5098532565659,1.132885128124974
28,1,0,obstacle_collision,,,579.0000000000007,646.3203540041116,
29,1,0,obstacle_collision,,,272.9999999999998,641.9501538281613,
30,1,0,obstacle_collision,,,551.9999999999995,575.7308398896137,
31,1,0,obstacle_collision,,,717.0000000000001,741.2853701510641,
32,1,0,obstacle_collision,,,258.00000000000006,621.6309194369276,
33,1,0,obstacle_collision,,,680.9999999999999,538.406909316736,
34,1,0,obstacle_collision,,,549.0,733.5952562551097,
35,0,1,success,,,663.0,665.1616344919481,0.9967502117081675
36,1,0,obstacle_collision,,,216.00000000000026,580.2801047769948,
37,0,1,success,,,723.0000000000005,696.4976669020507,1.0380508569624207
38,0,1,success,,,716.9999999999995,660.7874090810145,1.0850691011155347
39,0,1,success,,,636.0,643.1337341486606,0.9889078526442036
40,1,0,obstacle_collision,,,153.00000000000006,591.4473772027399,
41,0,1,success,,,530.9999999999999,538.4914112592697,0.9860881508922286
42,1,0,obstacle_collision,,,411.00000000000017,706.9512005789367,
43,0,1,success,,,660.0000000000001,641.404708432983,1.0289915108550531
44,1,0,obstacle_collision,,,534.0000000000001,607.3186972257647,
45,1,0,obstacle_collision,,,249.0000000000003,617.122354156775,
46,1,0,obstacle_collision,,,231.00000000000009,686.6097872882384,
47,0,1,success,,,585.0000000000003,561.3813320729502,1.042072414199874
48,1,0,boundary_collision,,,81.0000000000002,651.4575964711748,
49,1,0,obstacle_collision,,,344.99999999999983,601.7075701700952,
50,0,1,success,,,618.0000000000014,613.1492477366338,1.007911209679003
51,1,0,obstacle_collision,,,309.0,671.3754538259498,
52,0,1,success,,,512.9999999999997,539.4599151002787,0.9509511006107645
53,0,1,success,,,639.0000000000007,613.7108439648105,1.041206956474506
54,1,0,obstacle_collision,,,134.99999999999991,569.0035149276321,
55,0,1,success,,,626.9999999999995,638.1504524796641,0.9825269222385768
56,1,0,obstacle_collision,,,221.99999999999994,643.1150752392607,
57,0,1,success,,,638.9999999999997,558.4129296497351,1.1443144778198686
58,1,0,obstacle_collision,,,426.0,621.2889826803627,
59,1,0,obstacle_collision,,,464.99999999999966,715.649355480741,
60,0,1,success,,,593.9999999999993,608.6986117940471,0.9758523980353333
61,1,0,obstacle_collision,,,194.99999999999994,621.1811330038928,
62,1,0,obstacle_collision,,,279.0000000000004,602.4657666623059,
63,1,0,obstacle_collision,,,171.00000000000017,635.9284550953826,
64,1,0,obstacle_collision,,,297.00000000000045,534.4726372790285,
65,1,0,obstacle_collision,,,383.99999999999955,634.3224731948254,
66,1,0,obstacle_collision,,,684.0000000000006,648.1242164894011,
67,1,0,obstacle_collision,,,417.00000000000045,591.0270721379859,
68,1,0,obstacle_collision,,,213.0,694.51709842163,
69,0,1,success,,,762.0000000000001,686.0269673999703,1.1107435074862526
70,0,1,success,,,623.9999999999997,589.688901031722,1.0581850852343444
71,1,0,obstacle_collision,,,111.0000000000001,635.85297042634,
72,1,0,obstacle_collision,,,294.00000000000034,587.9124084419379,
73,0,1,success,,,795.0000000000001,690.4636123649095,1.1514002849144254
74,1,0,obstacle_collision,,,551.9999999999982,623.2214694633041,
75,0,1,success,,,629.9999999999976,648.7788529229355,0.9710550785705581
76,1,0,obstacle_collision,,,582.0000000000003,689.4200461257274,
77,1,0,obstacle_collision,,,165.00000000000003,651.5282035338148,
78,1,0,obstacle_collision,,,441.00000000000006,600.0008333327546,
79,0,1,success,,,741.0000000000003,734.4794074717139,1.0088778425398368
80,1,0,obstacle_collision,,,197.99999999999997,726.6498469001422,
81,1,0,obstacle_collision,,,389.99999999999966,610.5161750518982,
82,1,0,obstacle_collision,,,510.0000000000002,568.5701363947987,
83,1,0,obstacle_collision,,,137.99999999999994,540.4960684408352,
84,1,0,obstacle_collision,,,464.9999999999998,639.5529688774809,
85,0,1,success,,,813.0000000000008,599.9083263299485,1.355207061341656
86,1,0,obstacle_collision,,,356.99999999999983,596.1417616641196,
87,1,0,obstacle_collision,,,638.9999999999999,636.7550549465626,
88,1,0,obstacle_collision,,,314.9999999999997,655.5737944732081,
89,1,0,obstacle_collision,,,126.00000000000003,602.6649151891953,
90,0,1,success,,,603.0000000000002,557.0439839007329,1.0824997979108537
91,0,1,success,,,653.9999999999962,642.919123996168,1.0172352564891107
92,1,0,obstacle_collision,,,167.99999999999974,535.2476062534049,
93,0,1,success,,,615.0000000000003,636.3175307973213,0.966498595802304
94,0,1,success,,,660.0000000000007,616.7544081723291,1.0701180101100927
95,0,1,success,,,707.9999999999997,689.6274356491336,1.0266412897763737
96,0,1,success,,,594.0,590.3600596246328,1.0061656277656752
97,0,1,success,,,569.9999999999993,582.1039426081909,0.9792065613677888
98,1,0,obstacle_collision,,,126.00000000000004,651.2488003827723,
99,1,0,obstacle_collision,,,287.9999999999999,605.0256192922743,
100,1,0,obstacle_collision,,,704.9999999999998,639.5600050034399,
