episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,obstacle_collision,,,411.0,657.7932805980919,
2,0,1,success,,,639.0,658.5537183859796,0.9703080890137513
3,1,0,obstacle_collision,,,396.00000000000006,639.4137940332536,
4,0,1,success,,,644.9999999999999,659.9553015167012,0.9773389175261852
5,0,1,success,,,650.9999999999997,621.9276485251319,1.0467455523866986
6,1,0,obstacle_collision,,,479.9999999999997,604.2060906677456,
7,0,1,success,,,894.0000000000003,659.9795451375747,1.3545874362115924
8,1,0,obstacle_collision,,,443.99999999999966,544.1406068287865,
9,0,1,success,,,641.999999999999,655.3785165841188,0.9795865805094595
10,0,1,success,,,666.000000000001,610.265515984641,1.09132825394113
11,0,1,success,,,606.0000000000005,574.222953215909,1.0553392138125541
12,0,1,success,,,672.0000000000005,584.8247600777519,1.1490621565178922
13,0,1,success,,,666.0,670.8658584247673,0.9927468981113562
14,0,1,success,,,569.9999999999998,538.7439094783346,1.058016601156439
15,0,1,success,,,621.0000000000019,628.1822983816083,0.9885665380891658
16,0,1,success,,,588.0000000000007,567.0564345812505,1.0369338290539216
17,0,1,success,,,816.0000000000002,667.3604723086318,1.222727497145842
18,0,1,success,,,557.9999999999975,565.0079645456336,0.9875966977717353
19,0,1,success,,,675.0000000000003,598.0535093116669,1.1286615486579044
20,1,0,obstacle_collision,,,411.0000000000002,648.5098303032885,
21,0,1,success,,,737.9999999999999,663.3852575992324,1.1124757319310887
22,0,1,success,,,672.0000000000003,630.3173803727769,1.0661295736483924
23,0,1,success,,,663.0000000000009,679.2385442537842,0.9760930171128274
24,0,1,success,,,683.9999999999995,695.330856499264,0.983704366930714
25,0,1,success,,,560.9999999999995,577.4738089298943,0.9714726301433098
26,0,1,success,,,647.9999999999998,615.7808051571598,1.0523225059518004
27,0,1,success,,,749.9999999999999,671.5429993678737,1.1168309411399986
28,0,1,success,,,558.000000000001,578.4332286444132,0.9646748706116028
29,0,1,success,,,776.9999999999999,735.6582086811783,1.0561970094684805
30,0,1,success,,,660.0000000000005,674.6984511617023,0.9782147844916586
31,0,1,success,,,588.0000000000001,603.8584271168202,0.9737381703977576
32,1,0,obstacle_collision,,,441.0000000000001,583.3043802338535,
33,0,1,success,,,719.9999999999999,640.9134106882145,1.1233966835346165
