episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,1,0,obstacle_collision,,,185.9999999999996,598.441308734616,
2,0,1,success,,,710.9999999999995,640.1452960070862,1.110685346646879
3,1,0,obstacle_collision,,,528.0,644.7239719445835,
4,1,0,obstacle_collision,,,503.99999999999875,549.131131880173,
5,0,1,success,,,1041.0000000000011,594.084169120841,1.7522769568839567
6,0,1,success,,,837.0000000000001,696.9662832590972,1.2009189254982158
7,1,0,obstacle_collision,,,233.99999999999991,669.0269052885691,
8,1,0,obstacle_collision,,,489.00000000000097,699.9835712357826,
9,1,0,obstacle_collision,,,786.0000000000001,639.3621821784582,
10,0,1,success,,,776.9999999999999,663.1598600639215,1.171663194339153
11,0,1,success,,,650.9999999999962,639.3441952501016,1.018230876007774
12,1,0,obstacle_collision,,,215.99999999999937,589.542195266802,
13,0,1,success,,,749.9999999999991,640.0781202322104,1.1717319750406572
14,1,0,obstacle_collision,,,122.99999999999964,569.0316335670627,
15,0,1,success,,,723.0000000000005,564.3908220373538,1.2810272098155224
16,0,1,success,,,1146.0000000000011,560.9037350562037,2.043131340327355
17,0,1,success,,,905.9999999999999,653.7583651472461,1.3858331278039424
18,0,1,success,,,800.9999999999999,672.2358217173494,1.191546142176266
19,1,0,obstacle_collision,,,518.9999999999994,700.8230875192397,
20,1,0,obstacle_collision,,,327.00000000000034,627.9530237207239,
21,1,0,obstacle_collision,,,534.0000000000009,588.3026432033091,
22,0,1,success,,,720.0000000000001,660.5641528269605,1.08997740328275
23,0,1,success,,,684.0000000000006,615.939120368239,1.110499361675666
24,0,1,success,,,731.9999999999994,662.9509785798646,1.1041540380075276
25,1,0,boundary_collision,,,783.0000000000001,522.0469327560502,
26,1,0,boundary_collision,,,377.9999999999999,568.0880213488047,
27,1,0,obstacle_collision,,,384.0000000000002,690.5396440465963,
28,1,0,boundary_collision,,,95.99999999999996,686.2200813150254,
29,1,0,boundary_collision,,,56.999999999999986,711.9620776417801,
30,1,0,obstacle_collision,,,621.0000000000002,570.2227634880951,
31,1,0,boundary_collision,,,207.00000000000003,640.7261505510759,
32,0,1,success,,,540.0,547.1179031982047,0.9869901840963409
33,1,0,obstacle_collision,,,344.99999999999983,526.4902658169475,
34,1,0,obstacle_collision,,,446.99999999999943,545.0110090631198,
35,1,0,boundary_collision,,,101.99999999999999,654.0374607008379,
36,1,0,obstacle_collision,,,933.0000000000001,613.6000325945232,
37,1,0,boundary_collision,,,125.99999999999996,543.323108288245,
38,1,0,boundary_collision,,,209.9999999999999,686.2514116561073,
39,1,0,boundary_collision,,,180.0,535.4960317313286,
40,1,0,obstacle_collision,,,825.0000000000001,594.847879713797,
41,1,0,obstacle_collision,,,95.99999999999986,584.0154107555725,
42,1,0,obstacle_collision,,,629.9999999999998,598.3519031473035,
43,1,0,obstacle_collision,,,881.9999999999997,674.1609600088098,
44,0,1,success,,,590.999999999999,586.2874721499684,1.0080379132659092
45,1,0,obstacle_collision,,,575.9999999999999,699.7721057601539,
46,1,0,obstacle_collision,,,479.99999999999903,659.8977193474758,
47,1,0,obstacle_collision,,,651.0000000000001,667.9288884304975,
48,1,0,obstacle_collision,,,143.99999999999994,610.6267272237599,
49,1,0,obstacle_collision,,,425.9999999999999,596.0679491467395,
50,1,0,obstacle_collision,,,678.0000000000003,503.3587190066345,
51,1,0,obstacle_collision,,,365.99999999999983,624.4613679003689,
52,1,0,obstacle_collision,,,852.0000000000003,597.0862584250285,
53,1,0,boundary_collision,,,41.99999999999998,673.8850050268221,
54,1,0,obstacle_collision,,,110.99999999999987,656.4030773846205,
55,1,0,boundary_collision,,,849.0,658.1443610637411,
56,1,0,boundary_collision,,,72.00000000000003,580.5170109479997,
57,1,0,obstacle_collision,,,789.0000000000001,645.3681120105022,
58,1,0,obstacle_collision,,,744.0000000000007,788.0101522188658,
59,0,1,success,,,641.9999999999991,617.0008103722394,1.0405172719508708
60,0,1,success,,,557.999999999999,568.4663578436282,0.9815884305214975
61,1,0,obstacle_collision,,,117.00000000000006,626.3904533116704,
62,1,0,obstacle_collision,,,194.99999999999997,703.6192152009494,
63,1,0,obstacle_collision,,,363.0000000000001,587.766109945104,
64,1,0,obstacle_collision,,,330.00000000000045,671.1460347793169,
65,1,0,obstacle_collision,,,143.99999999999966,586.4912616569833,
66,1,0,obstacle_collision,,,452.99999999999955,649.5059661003893,
67,1,0,obstacle_collision,,,512.9999999999997,638.2045126759916,
68,1,0,obstacle_collision,,,321.0000000000006,594.7856756849479,
69,1,0,boundary_collision,,,87.00000000000009,658.4261537940303,
70,0,1,success,,,705.0000000000002,637.3421373171556,1.1061562679154486
71,0,1,success,,,674.9999999999999,536.8062965353517,1.2574368153961235
72,1,0,obstacle_collision,,,498.00000000000034,609.5088186400587,
73,1,0,obstacle_collision,,,420.0000000000001,580.3834939072613,
74,1,0,obstacle_collision,,,273.0000000000003,634.6881123827671,
75,1,0,boundary_collision,,,44.999999999999986,783.3039001562548,
76,1,0,obstacle_collision,,,273.00000000000017,660.0378777009695,
