episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,591.000000000001,558.9248607818407,1.057387211535541
2,0,1,success,,,654.0,671.1929677819934,0.9743844637723056
3,1,0,obstacle_collision,,,371.9999999999994,675.2332930180502,
4,0,1,success,,,704.9999999999993,680.6768690061386,1.035733741076548
5,0,1,success,,,609.0000000000002,618.6048819723297,0.9844733168905719
6,0,1,success,,,671.9999999999998,648.3679510895029,1.036448514876138
7,1,0,obstacle_collision,,,218.99999999999994,643.6590712481259,
8,1,0,obstacle_collision,,,663.0000000000007,698.5821354715564,
9,1,0,boundary_collision,,,71.99999999999991,699.3668565209535,
10,0,1,success,,,542.9999999999999,560.7441484313501,0.9683560702666475
11,0,1,success,,,596.9999999999995,579.9180976655238,1.029455715217786
12,1,0,obstacle_collision,,,491.9999999999995,616.3700187387443,
13,1,0,obstacle_collision,,,404.99999999999994,647.892738036166,
14,0,1,success,,,687.0000000000005,600.5614040212707,1.1439296554856
15,0,1,success,,,621.0000000000002,612.003267965131,1.0147004640429171
16,0,1,success,,,651.0000000000006,655.616503758104,0.9929585302815885
17,0,1,success,,,672.0000000000013,601.6992604283306,1.1168370051205079
18,0,1,success,,,551.9999999999998,571.7989157037638,0.9653743384955605
19,1,0,obstacle_collision,,,269.99999999999955,590.1533698963347,
20,0,1,success,,,531.000000000003,557.0008976653448,0.9533198280751001
21,0,1,success,,,669.0000000000008,608.4028270808741,1.0996004131175274
22,0,1,success,,,602.9999999999992,572.420300129197,1.0534217599618676
23,1,0,obstacle_collision,,,504.00000000000034,604.5858086326539,
24,0,1,success,,,633.0,601.9185991477585,1.051637216222009
25,0,1,success,,,684.0000000000013,704.868782114799,0.9703933800952488
26,0,1,success,,,608.9999999999992,618.0291255272683,0.9853904530477169
27,1,0,obstacle_collision,,,327.0000000000001,609.948358469797,
28,1,0,boundary_collision,,,722.9999999999998,589.3462479731248,
29,1,0,boundary_collision,,,144.00000000000003,645.4897365566706,
30,1,0,boundary_collision,,,105.0,634.3886821184627,
31,1,0,boundary_collision,,,123.00000000000037,636.0503124753576,
32,1,0,boundary_collision,,,120.00000000000009,687.2917866525105,
33,1,0,boundary_collision,,,372.0,655.25033384196,
