step,train_loss,avg_return,early_collision_rate,episode_count,converged,convergence_step,convergence_return
2000,0.7675898671150208,26.400455,0.5238095238095238,42,0,,
4000,0.0011218143627047539,57.83471,0.5714285714285714,49,0,,
6000,0.004396824166178703,87.35599,0.5806451612903226,62,0,,
8000,0.8250107169151306,98.29407,0.5735294117647058,68,0,,
10000,0.009595239534974098,102.29561,0.5443037974683544,79,0,,
12000,0.006253262050449848,81.910515,0.5333333333333333,90,1,10000,74.43616561889648
14000,0.015233012847602367,116.065796,0.51,100,1,10000,74.43616561889648
16000,0.021022923290729523,81.028046,0.5089285714285714,112,1,10000,74.43616561889648
18000,0.8613110780715942,104.89973,0.48739495798319327,119,1,10000,74.43616561889648
20000,0.011057524010539055,115.02722,0.48854961832061067,131,1,10000,74.43616561889648
22000,0.010937257669866085,101.79998,0.4755244755244755,143,1,10000,74.43616561889648
24000,0.04057638347148895,64.27781,0.4838709677419355,155,1,10000,74.43616561889648
26000,0.019825346767902374,105.75357,0.48823529411764705,170,1,10000,74.43616561889648
28000,0.8461601734161377,77.17475,0.4835164835164835,182,1,10000,74.43616561889648
30000,0.014071162790060043,79.84333,0.48704663212435234,193,1,10000,74.43616561889648
32000,0.029894476756453514,71.28094,0.47783251231527096,203,1,10000,74.43616561889648
34000,0.9892330169677734,57.61307,0.47417840375586856,213,1,10000,74.43616561889648
36000,0.007092520594596863,103.15621,0.45739910313901344,223,1,10000,74.43616561889648
38000,0.006017317064106464,134.46504,0.452991452991453,234,1,10000,74.43616561889648
40000,0.03211388364434242,115.53177,0.44715447154471544,246,1,10000,74.43616561889648
42000,0.028474105522036552,112.62176,0.43529411764705883,255,1,10000,74.43616561889648
44000,0.9087553024291992,115.199745,0.43018867924528303,265,1,10000,74.43616561889648
46000,0.01608520932495594,87.83083,0.4254545454545455,275,1,10000,74.43616561889648
48000,1.4135934114456177,77.53962,0.4236111111111111,288,1,10000,74.43616561889648
50000,0.009737461805343628,98.89018,0.4261744966442953,298,1,10000,74.43616561889648
52000,1.435210108757019,77.436646,0.42394822006472493,309,1,10000,74.43616561889648
54000,0.013496095314621925,103.71635,0.41509433962264153,318,1,10000,74.43616561889648
56000,0.009217523038387299,84.48094,0.4133738601823708,329,1,10000,74.43616561889648
58000,1.720867395401001,81.98885,0.4035608308605341,337,1,10000,74.43616561889648
60000,0.0047296276316046715,95.65081,0.4074074074074074,351,1,10000,74.43616561889648
62000,0.8537410497665405,92.07331,0.40607734806629836,362,1,10000,74.43616561889648
64000,0.043466050177812576,97.18076,0.40053763440860213,372,1,10000,74.43616561889648
66000,0.028883662074804306,104.13642,0.4051948051948052,385,1,10000,74.43616561889648
68000,1.4147498607635498,78.864716,0.4005037783375315,397,1,10000,74.43616561889648
70000,0.8926168084144592,95.4211,0.4024390243902439,410,1,10000,74.43616561889648
72000,1.4126591682434082,79.363815,0.3990498812351544,421,1,10000,74.43616561889648
74000,0.04066628962755203,79.655594,0.4018475750577367,433,1,10000,74.43616561889648
76000,0.07565601915121078,115.17779,0.39592760180995473,442,1,10000,74.43616561889648
78000,0.03432295471429825,102.114494,0.39514348785871967,453,1,10000,74.43616561889648
80000,0.04851518198847771,98.09295,0.38961038961038963,462,1,10000,74.43616561889648
82000,0.0042320177890360355,92.23553,0.386892177589852,473,1,10000,74.43616561889648
84000,0.017457693815231323,84.7898,0.38556701030927837,485,1,10000,74.43616561889648
86000,0.006961700040847063,75.407394,0.3850806451612903,496,1,10000,74.43616561889648
88000,1.3472248315811157,100.993324,0.382,508,1,10000,74.43616561889648
90000,0.011243466287851334,85.0693,0.382,518,1,10000,74.43616561889648
92000,0.03694866597652435,86.08397,0.382,529,1,10000,74.43616561889648
94000,0.09499316662549973,111.19189,0.382,539,1,10000,74.43616561889648
96000,0.021897731348872185,88.50322,0.382,550,1,10000,74.43616561889648
98000,0.12503913044929504,116.21254,0.382,563,1,10000,74.43616561889648
100000,1.4541951417922974,104.814125,0.382,574,1,10000,74.43616561889648
102000,0.12730826437473297,73.648544,0.382,588,1,10000,74.43616561889648
104000,0.0635906383395195,114.99276,0.382,598,1,10000,74.43616561889648
106000,0.024352755397558212,118.507935,0.382,608,1,10000,74.43616561889648
108000,0.007165463641285896,90.77844,0.382,619,1,10000,74.43616561889648
110000,1.0614408254623413,60.246227,0.382,628,1,10000,74.43616561889648
112000,0.15818947553634644,90.527115,0.382,640,1,10000,74.43616561889648
114000,0.01330178789794445,50.149033,0.382,650,1,10000,74.43616561889648
116000,1.5074940919876099,93.6867,0.382,661,1,10000,74.43616561889648
118000,0.08439905941486359,86.94952,0.382,671,1,10000,74.43616561889648
120000,0.04304929077625275,64.695015,0.382,681,1,10000,74.43616561889648
122000,1.3458251953125,92.717735,0.382,692,1,10000,74.43616561889648
124000,1.0904356241226196,80.918076,0.382,704,1,10000,74.43616561889648
126000,0.09989770501852036,117.33682,0.382,713,1,10000,74.43616561889648
128000,0.042666707187891006,79.5043,0.382,722,1,10000,74.43616561889648
130000,0.027378004044294357,95.08675,0.382,732,1,10000,74.43616561889648
132000,0.03197915479540825,90.307594,0.382,741,1,10000,74.43616561889648
134000,0.020293917506933212,101.791664,0.382,752,1,10000,74.43616561889648
136000,0.995050311088562,62.16819,0.382,762,1,10000,74.43616561889648
138000,0.013311788439750671,70.03172,0.382,775,1,10000,74.43616561889648
140000,1.4176034927368164,115.01326,0.382,787,1,10000,74.43616561889648
142000,0.1559251844882965,88.90776,0.382,796,1,10000,74.43616561889648
144000,0.08318967372179031,80.47377,0.382,808,1,10000,74.43616561889648
146000,1.0441402196884155,84.77815,0.382,819,1,10000,74.43616561889648
148000,0.046237457543611526,73.08029,0.382,830,1,10000,74.43616561889648
150000,0.06482312828302383,86.53653,0.382,840,1,10000,74.43616561889648
152000,0.03731725364923477,73.218315,0.382,851,1,10000,74.43616561889648
154000,0.2014561891555786,78.25047,0.382,863,1,10000,74.43616561889648
156000,0.08047384023666382,85.17937,0.382,873,1,10000,74.43616561889648
158000,0.048072658479213715,83.348915,0.382,883,1,10000,74.43616561889648
160000,0.06546006351709366,92.12058,0.382,894,1,10000,74.43616561889648
162000,2.396512985229492,91.94808,0.382,905,1,10000,74.43616561889648
164000,1.4258744716644287,77.07088,0.382,916,1,10000,74.43616561889648
166000,0.2137199342250824,73.01095,0.382,927,1,10000,74.43616561889648
168000,1.3593670129776,113.97018,0.382,938,1,10000,74.43616561889648
170000,0.1132526621222496,110.32219,0.382,950,1,10000,74.43616561889648
172000,0.03472417593002319,119.46183,0.382,959,1,10000,74.43616561889648
174000,0.10313636809587479,91.02237,0.382,968,1,10000,74.43616561889648
176000,0.11051784455776215,77.36042,0.382,979,1,10000,74.43616561889648
178000,0.025779420509934425,90.283646,0.382,990,1,10000,74.43616561889648
180000,0.07604854553937912,78.553925,0.382,1002,1,10000,74.43616561889648
182000,0.016856376081705093,76.18392,0.382,1011,1,10000,74.43616561889648
184000,0.08471356332302094,89.94765,0.382,1021,1,10000,74.43616561889648
