episode,collision,success,termination_reason,steps,episode_return,actual_path_length,optimal_distance,path_efficiency_ratio
1,0,1,success,,,564.000000000001,565.2786923279525,0.9977379435218308
2,0,1,success,,,521.9999999999995,538.4876971667969,0.9693814784375839
3,0,1,success,,,824.9999999999993,750.7929141913901,1.098838287370534
4,0,1,success,,,687.0,694.2341103691175,0.9895797249644342
5,0,1,success,,,761.9999999999994,722.6984156617475,1.0543817220109235
6,0,1,success,,,675.0000000000005,666.8433099312011,1.0122317941071357
7,0,1,success,,,524.9999999999995,535.0607442150845,0.9811970055290756
8,0,1,success,,,593.9999999999998,555.4043572029301,1.0694910695181454
9,1,0,obstacle_collision,,,351.0000000000002,662.8906395477311,
10,0,1,success,,,698.9999999999995,693.3108970728788,1.0082057024505742
11,0,1,success,,,746.9999999999998,641.4959080150084,1.164465728723749
12,0,1,success,,,585.0000000000016,585.3494682666073,0.9994029749994637
13,0,1,success,,,723.0000000000001,678.6162391219356,1.0654033285962814
14,1,0,obstacle_collision,,,84.0,631.9216723613774,
15,0,1,success,,,695.9999999999999,705.4643860606998,0.9865841759730085
16,0,1,success,,,564.0000000000005,553.4347296655677,1.0190903638100506
17,1,0,obstacle_collision,,,59.99999999999993,534.3126425605144,
18,0,1,success,,,606.0,612.5234689381298,0.989349846546388
19,0,1,success,,,711.0000000000006,619.0807701746195,1.1484769585064871
20,0,1,success,,,672.0,677.5160514703692,0.9918584195040131
21,0,1,success,,,621.0,567.0149909834836,1.0952091388675276
22,1,0,obstacle_collision,,,450.0,582.0137455421478,
23,0,1,success,,,629.9999999999997,625.3654931318165,1.0074108771895514
24,0,1,success,,,653.9999999999999,660.9273787641121,0.9895186990481981
25,0,1,success,,,620.9999999999998,628.0286617663241,0.988808374212482
26,0,1,success,,,608.9999999999995,574.6877412995688,1.0597059172044263
27,0,1,success,,,744.0000000000002,748.4149918327398,0.9941008773462326
28,1,0,obstacle_collision,,,90.00000000000006,595.3024441407913,
29,0,1,success,,,708.0000000000001,698.9778251132149,1.0129076696894124
30,0,1,success,,,704.9999999999995,622.6299061240152,1.1322938282691128
31,0,1,success,,,665.9999999999998,641.4608327871624,1.0382551294772187
32,0,1,success,,,567.0000000000013,579.4523276336026,0.978510177559464
33,0,1,success,,,594.0000000000002,589.4539846332367,1.0077122480893774
34,0,1,success,,,629.9999999999994,645.4215676594639,0.9761062095966382
35,1,0,obstacle_collision,,,339.00000000000045,553.1726674375732,
36,0,1,success,,,600.0000000000011,623.2856487999703,0.9626404861963344
37,0,1,success,,,704.9999999999998,616.5922477618413,1.1433812256950495
38,0,1,success,,,785.9999999999999,692.5467493245492,1.1349414328586438
39,0,1,success,,,570.0000000000002,548.9672121356612,1.0383133771915352
40,1,0,obstacle_collision,,,273.00000000000006,663.0987860040161,
41,0,1,success,,,786.0000000000002,752.5875364367922,1.044396780368438
42,0,1,success,,,738.0,703.9616466825448,1.0483525678960817
43,1,0,obstacle_collision,,,371.99999999999983,526.6621307821553,
44,0,1,success,,,638.9999999999999,638.3306353293723,1.001048617493162
45,0,1,success,,,776.9999999999997,724.7020077245543,1.0721648232211367
46,0,1,success,,,626.9999999999999,595.1974462310806,1.0534319392166416
47,0,1,success,,,663.0000000000005,666.5733267990852,0.9946392592451246
48,0,1,success,,,591.0000000000008,600.1408168088553,0.9847688799814363
49,0,1,success,,,608.9999999999997,587.0332188215586,1.037419996814726
50,1,0,obstacle_collision,,,153.00000000000014,616.8346618016857,
51,1,0,obstacle_collision,,,204.00000000000006,623.7122734081797,
52,0,1,success,,,669.0000000000003,640.1757571167468,1.0450255145759868
53,0,1,success,,,759.0,711.4161932371234,1.066886032698185
54,0,1,success,,,603.0000000000003,622.4403585886763,0.9687675159227221
55,0,1,success,,,606.0000000000005,606.0206267116656,0.9999659636805152
56,0,1,success,,,669.0,562.2001422980966,1.1899676817322375
57,0,1,success,,,614.9999999999992,578.2845320428345,1.0634903164839367
58,0,1,success,,,756.0000000000006,756.5348637042447,0.999293008518305
59,1,0,obstacle_collision,,,425.9999999999998,560.3614904684297,
60,0,1,success,,,600.0000000000002,597.8043158091116,1.0036729145856313
61,1,0,obstacle_collision,,,698.9999999999999,706.983026670372,
62,0,1,success,,,684.0000000000006,608.7766421274719,1.123564789886892
63,0,1,success,,,635.9999999999999,645.2015189070776,0.9857385349577844
64,1,0,obstacle_collision,,,327.0000000000003,602.1934904995237,
65,0,1,success,,,627.0,572.6927623080285,1.0948278750251812
